workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p90_max,sla_sec_old,sla_sec_new,p90_greedy,p90_murakkab_profile,p90_single_cloud
workflow1,Q1,workflow1_Q1_q0099,1.0,single_cloud,1671.0564143936922,16080.547955194788,1671.0564143936922,554.124794655663,918.4438272857768,1671.0564143936922
workflow1,Q1,workflow1_Q1_q0100,1.0,single_cloud,1181.910272345381,11484.97263881456,1181.910272345381,416.2735210940768,666.5129053653491,1181.910272345381
workflow1,Q1,workflow1_Q1_q0101,1.0,single_cloud,1470.1508035764307,14371.250505942982,1470.1508035764307,473.0064365994225,795.6105461380923,1470.1508035764307
workflow1,Q1,workflow1_Q1_q0102,1.0,single_cloud,2485.380691718583,24633.034982806104,2485.380691718583,676.9155115320358,1263.3145680356668,2485.380691718583
workflow1,Q1,workflow1_Q1_q0103,1.0,single_cloud,2808.301283121719,26414.247296007852,2808.301283121719,901.5476310816449,1520.636668484309,2808.301283121719
workflow1,Q1,workflow1_Q1_q0104,1.0,single_cloud,911.2947259409355,9347.560902626876,911.2947259409355,287.716472249083,490.2093803824831,911.2947259409355
workflow1,Q1,workflow1_Q1_q0105,1.0,single_cloud,1170.8532891234504,11173.414136513838,1170.8532891234504,427.13867610415144,668.38840548516,1170.8532891234504
workflow1,Q1,workflow1_Q1_q0106,1.0,single_cloud,845.169098940791,8822.631187678473,845.169098940791,276.65033067885014,466.155977551626,845.169098940791
workflow1,Q1,workflow1_Q1_q0107,1.0,single_cloud,1612.3133263270436,15797.346434991396,1612.3133263270436,509.9270248036634,873.3436962779731,1612.3133263270436
workflow1,Q1,workflow1_Q1_q0108,1.0,single_cloud,2374.177737048005,21773.49706473124,2374.177737048005,852.4238016768497,1350.4458292086438,2374.177737048005
workflow1,Q1,workflow1_Q1_q0109,1.0,single_cloud,798.0568960011582,8404.525986866223,798.0568960011582,252.35556872476212,431.2908463673135,798.0568960011582
workflow1,Q1,workflow1_Q1_q0110,1.0,single_cloud,1168.99776839888,11415.677573056097,1168.99776839888,395.1030719971686,640.6532163116167,1168.99776839888
workflow1,Q1,workflow1_Q1_q0111,1.0,single_cloud,3092.662110675171,29034.560834004424,3092.662110675171,996.957593736284,1682.2957875333045,3092.662110675171
workflow1,Q1,workflow1_Q1_q0112,1.0,single_cloud,223.68906718851957,3125.062874283322,223.68906718851957,83.12677792637457,131.95609221845044,223.68906718851957
workflow1,Q1,workflow1_Q1_q0113,1.0,single_cloud,1560.031380298848,15236.332541148937,1560.031380298848,493.4849891119402,838.0617701223459,1560.031380298848
