workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p95_min,sla_sec_old,sla_sec_new,p95_greedy,p95_murakkab_profile,p95_single_cloud
workflow2,Q2,workflow2_Q2_q1849,1.0,single_cloud,2289.4198508986374,4167.024331299598,2289.4198508986374,2432.019078284772,2407.7988875278684,2289.4198508986374
workflow2,Q2,workflow2_Q2_q1850,1.0,single_cloud,2454.1150537406766,3520.504181741051,2454.1150537406766,2693.9373420087495,2468.517132960947,2454.1150537406766
workflow2,Q2,workflow2_Q2_q1851,1.0,single_cloud,3536.128754152114,5402.744722026203,3536.128754152114,3787.240546182203,3660.25964242293,3536.128754152114
workflow2,Q2,workflow2_Q2_q1852,1.0,single_cloud,3515.2947725096355,5007.329610998365,3515.2947725096355,3816.06002160058,3801.3801214035648,3515.2947725096355
workflow2,Q2,workflow2_Q2_q1853,1.0,murakkab_profile,13319.255338119712,18670.25964031586,13319.255338119712,14219.171071251369,13319.255338119712,13330.676943559234
workflow2,Q2,workflow2_Q2_q1854,1.0,single_cloud,20257.712003822933,21988.723992056344,20257.712003822933,22194.72585310319,20369.234606460446,20257.712003822933
workflow2,Q2,workflow2_Q2_q1855,1.0,single_cloud,15685.401526702857,20769.228404363697,15685.401526702857,16843.16526388057,15995.854669098193,15685.401526702857
workflow2,Q2,workflow2_Q2_q1856,1.0,single_cloud,13008.014490206813,15933.847865631382,13008.014490206813,14097.526458046066,13426.72300386842,13008.014490206813
workflow2,Q2,workflow2_Q2_q1857,1.0,single_cloud,8811.173474986192,10264.9759364439,8811.173474986192,9628.121827292414,8885.26015426062,8811.173474986192
workflow2,Q2,workflow2_Q2_q1858,1.0,single_cloud,10433.804562320833,16727.43597881127,10433.804562320833,10962.297452454726,10434.648160840832,10433.804562320833
workflow2,Q2,workflow2_Q2_q1859,1.0,single_cloud,3268.9901372615345,5600.0361425058745,3268.9901372615345,3467.772482970137,3520.5461053977656,3268.9901372615345
workflow2,Q2,workflow2_Q2_q1860,1.0,single_cloud,16559.687363619567,23229.95648971493,16559.687363619567,17654.25688313712,17145.181722872636,16559.687363619567
workflow2,Q2,workflow2_Q2_q1861,1.0,single_cloud,14304.099418599097,15837.616663040202,14304.099418599097,15663.418566837123,15568.81742018903,14304.099418599097
workflow2,Q2,workflow2_Q2_q1862,1.0,single_cloud,12538.094860463842,18636.46456844325,12538.094860463842,13280.386777426533,12969.63774025178,12538.094860463842
workflow2,Q2,workflow2_Q2_q1863,1.0,murakkab_profile,6797.736806588068,10532.552459263365,6797.736806588068,7216.900840726437,6797.736806588068,6820.0159113912105
workflow2,Q2,workflow2_Q2_q1864,1.0,single_cloud,4900.314952657435,7953.896814943268,4900.314952657435,5179.195698186628,5346.206371607547,4900.314952657435
workflow2,Q2,workflow2_Q2_q1865,1.0,murakkab_profile,16723.607799990245,19514.697578560463,16723.607799990245,18335.56543017839,16723.607799990245,16835.296342432543
workflow2,Q2,workflow2_Q2_q1866,1.0,single_cloud,512.465984527903,1526.2175913209544,512.465984527903,565.0753551006478,522.2627331577992,512.465984527903
workflow2,Q2,workflow2_Q2_q1867,1.0,single_cloud,5343.388889403782,7065.302184823376,5343.388889403782,5796.142151927021,5532.313690758848,5343.388889403782
